catalog_name,product_name,product_url,product_reviews,product_stars,price,pic_url
Toys & Games,"Crayola Colored Pencils, Pre-sharpened, Great for Adult Coloring, 50 Count",https://www.amazon.com/Crayola-Colored-Pencils-Pre-sharpened-Coloring/dp/B018HB2QFU/ref=zg_bs_toys-and-games_13?_encoding=UTF8&psc=1&refRID=8F6XHG1MVQME3CNH9EBT,"1,518",4.1 out of 5 stars,$8.27,"https://images-na.ssl-images-amazon.com/images/I/91eGIebWdiL._AC_UL200_SR200,200_.jpg"
Toys & Games,Hasbro Connect 4 Game,https://www.amazon.com/Hasbro-A5640-Connect-4-Game/dp/B00D8STBHY/ref=zg_bs_toys-and-games_14?_encoding=UTF8&psc=1&refRID=8F6XHG1MVQME3CNH9EBT,"2,347",4.6 out of 5 stars,$8.79,"https://images-na.ssl-images-amazon.com/images/I/91L30nswRuL._AC_UL200_SR200,200_.jpg"
Toys & Games,Crayola 24 Count Crayons (6-Pack),https://www.amazon.com/Crayola-24-Count-Crayons-6-Pack/dp/B00LK0NFMY/ref=zg_bs_toys-and-games_15?_encoding=UTF8&psc=1&refRID=8F6XHG1MVQME3CNH9EBT,75,4.4 out of 5 stars,$11.18,"https://images-na.ssl-images-amazon.com/images/I/81ibBXUPyzL._AC_UL200_SR200,200_.jpg"
Entertainment Collectibles,"The Golden Girls Shady Pines Inspired Key Tag""Thank you For Being a Friend"" Teal/White",https://www.amazon.com/Golden-Girls-Shady-Inspired-Friend/dp/B01MS4I5KK/ref=zg_bs_entertainment-collectibles_1?_encoding=UTF8&psc=1&refRID=69V5WQS0R6PZDF1GW11V,17,5.0 out of 5 stars,$8.99,"https://images-na.ssl-images-amazon.com/images/I/51gsrQ0UVyL._AC_UL200_SR200,200_.jpg"
Entertainment Collectibles,Chester Bennington of Linkin Park reprint signed 11x14 poster photo #8 RP,https://www.amazon.com/Chester-Bennington-Linkin-reprint-signed/dp/B0744D59GX/ref=zg_bs_entertainment-collectibles_2?_encoding=UTF8&psc=1&refRID=69V5WQS0R6PZDF1GW11V,5,4.7 out of 5 stars,$14.99,"https://images-na.ssl-images-amazon.com/images/I/71PgGhWAWbL._AC_UL200_SR200,200_.jpg"
Entertainment Collectibles,KANE HODDER Signed Hockey Mask Jason Voorhees Friday the 13th,https://www.amazon.com/HODDER-Signed-Hockey-Voorhees-Friday/dp/B00Y1HZAHQ/ref=zg_bs_entertainment-collectibles_3?_encoding=UTF8&psc=1&refRID=69V5WQS0R6PZDF1GW11V,18,5.0 out of 5 stars,$89.00,"https://images-na.ssl-images-amazon.com/images/I/81k1KiUbfAL._AC_UL200_SR200,200_.jpg"
Entertainment Collectibles,Ryan Reynolds (Deadpool) signed 8x10 photo,https://www.amazon.com/Ryan-Reynolds-Deadpool-signed-photo/dp/B01D3ZMR9A/ref=zg_bs_entertainment-collectibles_4?_encoding=UTF8&psc=1&refRID=69V5WQS0R6PZDF1GW11V,1,5.0 out of 5 stars,$75.00,"https://images-na.ssl-images-amazon.com/images/I/5127LKkUJNL._AC_UL200_SR200,200_.jpg"
Entertainment Collectibles,Riverdale (TV Series 2017 - ) 8 inch by 10 inch PHOTOGRAPH Cole Sprouse from Thighs Up Left…,https://www.amazon.com/Riverdale-TV-2017-PHOTOGRAPH-Sprouse/dp/B0779CN3DZ/ref=zg_bs_entertainment-collectibles_5?_encoding=UTF8&psc=1&refRID=69V5WQS0R6PZDF1GW11V,1,5.0 out of 5 stars,$7.99,"https://images-na.ssl-images-amazon.com/images/I/51njI%2B4y1uL._AC_UL200_SR200,200_.jpg"
Entertainment Collectibles,Tom Petty and the Heartbreakers Autographed Signed 8 X 10 Reprint Photo - Mint Condition,https://www.amazon.com/Petty-Heartbreakers-Autographed-Signed-Reprint/dp/B076HFPV7Q/ref=zg_bs_entertainment-collectibles_6?_encoding=UTF8&psc=1&refRID=69V5WQS0R6PZDF1GW11V,not found,not found,$14.95,"https://images-na.ssl-images-amazon.com/images/I/A1UFjtHG5zL._AC_UL200_SR200,200_.jpg"
Entertainment Collectibles,FUNKO pop Pikachu target exclusive Pokemon 353,https://www.amazon.com/FUNKO-Pikachu-target-exclusive-Pokemon/dp/B07FZLC55Z/ref=zg_bs_entertainment-collectibles_7?_encoding=UTF8&psc=1&refRID=69V5WQS0R6PZDF1GW11V,3,1.0 out of 5 stars,not found,"https://images-na.ssl-images-amazon.com/images/I/91aaG2oA9PL._AC_UL200_SR200,200_.jpg"
